filename,henry_cons,f-chi-0-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-2-all,f-Z-3-all,f-I-3-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-1-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-3,f-lig-I-0,f-lig-I-3,f-lig-T-0,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,lc-chi-3-all,lc-Z-0-all,lc-Z-3-all,lc-T-0-all,lc-T-1-all,lc-S-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-alpha-0-all,func-alpha-2-all,D_func-chi-3-all,D_func-T-1-all,D_func-alpha-3-all,feature_2,feature_4,feature_6,feature_7,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_19,feature_42,feature_44,feature_45,feature_46,feature_47,feature_48,feature_51,feature_52,feature_54,feature_56,feature_58,feature_59,feature_60,feature_61,feature_62,feature_68,feature_86,feature_88,feature_89,feature_90,feature_92,feature_93,feature_96,feature_97,feature_98,feature_100,feature_101,feature_102,feature_103,feature_104
MARXEK_clean_no_solvent.cif,0.00385,368.488,1859.4864,2314.9824,22132,29664,38784,288,768,1152,1536,83.7456,26.2128,19.431,45.6438,5041,3408,2556,5964,12,36,72,108,180,7.0956,7.4844,14.58,-13.02,-7.68,-20.7,378,390,768,24,18,42,5.34,5.1,10.44,144.0441,255.969,399.6456,462.213,711,1260,1944,18,66,90,294,306,8.9442,19.1268,27.591,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,0,0,0,0,0,0.002931791,0.00076552,0.000973532,0.001099977,0.000287215,0.001170326,0.001242846,0.000324519,5.54E-05,0.000225586,0.000345274,1.64E-06,-3.67E-06,-2.11E-06,-1.41E-06,-2.39E-06,4.85E-06,2.44E-06,4.10E-06,2.07E-06,2.06E-06,4.12E-07,4.24E-06,3.15E-06,3.92E-07,5.03E-06,5.37E-07,1.85E-07,1.56E-06,-1.11E-05,7.59E-06,-1.88E-06,-3.33E-06,-7.16E-06,9.21E-07,2.54E-05,-1.89E-06,-1.42E-05,6.87E-06,-2.06E-05,0.000212691
MASMIC_clean_no_solvent.cif,0.00158,79.5914,187.9736,275.0344,1253,2836,1492,36,112,126,88,15.266,22.173,30.001,39.71,841,783,1073,1653,9,16,40,64,80,4.1676,6.348,8.1972,-4.07,-4.39,-3.8,89,137,204,6,8,16,2.5,3.68,6.48,68.98615,142.28255,203.11,229.406,275.5,582.5,644,11,38,54,176,180,4.6523,10.503,13.9536,10.564,45.75,28,2.5,6.5,0.5701,129.2325,116.972614,75.162614,7,6.5,-1,0.36,0.37,-1.00711,0.94289,0,0,0,0,0,0.012626473,0.004462967,0.0049781,0.004858846,0.001717413,0.005293036,0.004742448,0.001676271,0.000516,0.001590302,0.001826064,0.000102937,-0.00018633,-0.000220682,4.18E-06,-0.00017969,0.00029973,-5.28E-06,0.000319119,0.000467178,0.000166895,-4.43E-05,0.000129002,1.41E-05,7.39E-05,0.00090983,-9.02E-35,-1.51E-05,-1.71E-05,-0.000102675,0.000260118,0.000188361,5.63E-06,0.000109382,-0.000112211,-7.73E-05,-0.000171774,-8.95E-05,0.000300819,0.000357358,0.000869713
MECLEL_clean_no_solvent.cif,0.06,110.75055,453.7895,393.9626,1823.25,4693.5,6367,53,186,242.5,208,23.007,28.5614,15.83166667,73.84533333,169,533,892.6666667,1386.666667,13.33333333,25.66666667,51.33333333,100.3333333,134.6666667,4.5738,6.4008,12.264,-9.69,-2.32,-24.4,24,-8,66.66666667,15.66666667,4,40.66666667,2.67,0.8,7.066666667,52.1305,60.2688,142.0032,0,481,960,0,5,0,20,12,0,3.2552,6.1904,6.3948,0,66.2173913,0,0.869565217,3.47826087,0.529143478,115.2173913,73.27826087,0,0,0,-2.608695652,0,0,0,0,543.4782609,0,0,10.43478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECVIA_clean_no_solvent.cif,0.00377,69.9671,174.532,180.8064,1962.333333,4168,2880,24,80,80,48,13.50986667,25.54773333,16.2644,76.6432,806.3333333,906.6666667,1700,2720,12,16,32,64,80,3.659733333,5.314133333,10.9792,-6.333333333,-1.333333333,-19,81.33333333,53.33333333,244,8,0,28,2.093333333,0.773333333,6.28,52.1305,60.2688,142.0032,0,481,960,0,5,0,20,12,0,3.2552,6.1904,6.3948,0,64,0,1,4,0.5329,132.5,84.27,0,0,0,-3,0,0,0,0,326.545,42.135,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECVOG_clean_no_solvent.cif,0.00384,69.84343333,173.948,180.8064,1927,4088,2880,24,80,80,48,13.47093333,25.08906667,15.9724,75.2672,771,885.3333333,1660,2656,12,16,32,64,80,3.640266667,5.285866667,10.9208,-6.466666667,-1.466666667,-19.4,78.66666667,50.66666667,236,8,0,28,2.066666667,0.746666667,6.2,52.1305,60.2688,142.0032,0,481,960,0,5,0,20,12,0,3.2552,6.1904,6.3948,0,64,0,1,4,0.5329,132.5,84.27,0,0,0,-3,0,0,0,0,326.545,42.135,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECVUM_clean_no_solvent.cif,0.00384,69.2125,170.6776,180.8064,1893,4008,2880,24,80,80,48,14.016,22.52053333,14.3372,67.5616,737,864,1620,2592,12,16,32,64,80,3.9128,5.6816,11.7384,-7.213333333,-2.213333333,-21.64,76,48,228,8,0,28,2.44,1.12,7.32,52.1305,60.2688,142.0032,0,481,960,0,5,0,20,12,0,3.2552,6.1904,6.3948,0,64,0,1,4,0.5329,132.5,84.27,0,0,0,-3,0,0,0,0,326.545,42.135,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECWIB_clean_no_solvent.cif,0.024,91.7089,230.2392,372.096,1384,3756,2016,48,144,180,144,17.1,20.064,33.66,68.244,900,840,1440,2400,16,16,48,96,176,3.93,8.0696,13.9384,-5.56,-7.2,-14.96,92,192,400,4,8,20,2.24,4.32,10.32,84.8757,179.571,285.9662,261.134,285,636,470,14,44,74,204,148,5.0478,12.166,16.6358,27.816,49,63,4,12,0.5625,167.24,255.352614,183.677842,8,19,-2,0.34,1.12,-4.90711,4.77867,0,0,0,0,0,0.014091003,-0.010900312,0.008282449,0.004983801,-0.003855296,0.025127399,0.002998905,-0.002319849,-0.002971967,0.019370183,-0.011696247,1.55E-07,3.97E-07,-8.17E-07,2.34E-06,-2.72E-06,3.22E-07,-3.37E-06,3.92E-06,-2.10E-06,-6.92E-06,-1.23E-05,1.41E-05,3.55E-05,-4.14E-05,4.87E-05,-2.47E-35,2.28E-06,-2.90E-06,-9.84E-06,6.81E-08,-3.56E-06,-1.97E-06,-9.97E-05,-5.33E-05,-0.000179042,0.000129118,0.000433184,6.96E-05,0.000233042,0.000782102
MECWOH_clean_no_solvent.cif,0.229,117.7189,315.9192,558.144,1528,5484,3024,72,320,384,480,26.4632,20.064,50.49,108.009,900,840,2160,3600,26,16,64,200,380,3.93,12.1044,21.9294,-5.56,-10.8,-22.56,92,288,660,0,-2,9,2.24,6.48,17.32,139.09445,390.4815,753.42395,710.94575,417.5,1374,1184,24,123.5,241.5,903.5,740,8.0128,27.027,41.54715,57.038,49,119,9,37.5,0.5625,250.86,414.135228,363.126991,15.5,40.75,-3.5,0.69,2.435,-7.86422,11.978785,0,0,0,0,0,0.02984309,-0.026997697,0.011197641,0.010627626,-0.009614333,0.057556562,0.010086627,-0.009124916,-0.013038542,0.078055716,-0.049418265,6.38E-34,1.60E-33,-1.29E-33,7.54E-34,-3.22E-34,2.08E-33,-1.39E-33,6.04E-34,-3.34E-33,-8.45E-34,-1.70E-33,7.35E-34,1.06E-33,-4.69E-34,2.16E-34,8.48E-08,-8.42E-06,-5.68E-06,5.04E-05,1.83E-05,6.46E-05,1.26E-05,6.59E-05,1.28E-05,-0.000113598,4.44E-05,-0.000393784,8.65E-06,-7.67E-05,0.000679258
MEFJOY_clean_no_solvent.cif,0.021,148.6350571,527.7586286,576.7405714,3084.571429,8585.142857,8886.857143,75.42857143,240,349.7142857,401.1428571,29.30845714,22.704,17.655,48.081,900,960,1800,2040,9.333333333,16,34.66666667,61.33333333,85.33333333,3.8252,5.650466667,9.100133333,-7.16,-3,-13.74,88,80,212,7.333333333,3.333333333,16,2.32,1.8,5.28,144.0441,255.969,399.6456,462.213,711,1260,1944,18,66,90,294,306,8.9442,19.1268,27.591,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,28.09,87.98,1.78,-2,-12,0.002659059,0.000673791,0.000923196,0.001021413,0.00025882,0.001311206,0.001130078,0.000286356,3.85E-05,0.000194891,0.0003676,8.63E-13,2.65E-12,-4.74E-12,5.70E-12,-3.12E-12,1.98E-12,-8.64E-12,4.72E-12,-1.45E-11,-9.56E-12,-3.14E-11,1.71E-11,3.77E-11,-2.06E-11,1.13E-11,5.64E-07,-2.96E-07,-2.42E-07,-3.82E-06,2.51E-06,-1.01E-06,6.90E-07,-3.40E-07,2.31E-07,3.66E-06,-2.78E-07,-4.39E-06,1.89E-07,2.99E-06,4.73E-05
MEFJUE_clean_no_solvent.cif,0.00929,149.3957714,532.1300571,582.6377143,3034,8544,8832,75.42857143,240,349.7142857,401.1428571,29.65885714,23.85066667,18.505,50.07766667,880.3333333,949.3333333,1792,2021.333333,9.333333333,16,34.66666667,61.33333333,85.33333333,3.893333333,5.722333333,9.240133333,-6.826666667,-2.666666667,-13.07333333,86.66666667,78.66666667,209.3333333,7.333333333,3.333333333,16,2.413333333,1.893333333,5.466666667,144.0441,255.969,399.6456,462.213,711,1260,1944,18,66,90,294,306,8.9442,19.1268,27.591,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,28.09,87.98,1.78,-2,-12,0.002604485,0.000428969,0.000945258,0.001013503,0.000166928,0.001556361,0.001086676,0.00017898,1.85E-05,0.000172292,0.000274846,9.72E-10,2.96E-09,-5.16E-09,5.95E-09,-3.12E-09,2.25E-09,-9.05E-09,4.74E-09,-1.57E-08,-9.50E-09,-3.16E-08,1.66E-08,3.64E-08,-1.91E-08,1.00E-08,1.72E-07,-2.07E-07,-3.39E-07,-4.21E-06,3.98E-06,5.34E-07,9.23E-07,7.05E-08,1.37E-07,1.63E-06,1.16E-07,1.53E-06,2.24E-07,2.65E-06,3.28E-05
NETRIN_clean_no_solvent.cif,0.075,69.1435,170.3856,180.8064,1507.75,2838,2880,24,80,80,48,13.6218,22.2912,14.1912,66.8736,351.75,552,1035,1656,12,16,32,64,96,3.7157,5.3954,11.1471,-7.28,-2.28,-21.84,37,9,111,8,0,24,2.17,0.85,6.51,52.1305,60.2688,142.0032,0,481,960,0,5,0,20,12,0,3.2552,6.1904,6.3948,0,64,0,1,4,0.5329,132.5,84.27,0,0,0,-3,0,0,0,0,625,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NETYIV_clean_no_solvent.cif,0.00894,66.2628,142.296,166.192,1260,2435.333333,1056,21.33333333,82,83.33333333,58.66666667,12.5908,17.404,25.84,48.13333333,841,705.6666667,928,1082.666667,10.66666667,9,25,48,60,3.2154,5.6672,8.3904,-3.46,-3.466666667,-5.066666667,62.66666667,122.6666667,272,0.666666667,0,12,1.81,3.253333333,8.64,117.3882,257.601,383.78,413.316,465,1068,1248,19,68,100,323,324,8.0123,19.2808,26.7676,17.784,49,52.5,4,12,0.5625,167.24,233.945228,133.648921,14,10,-2,0.72,0.55,-2.01422,0.439335,0,0,0,0,0,0.012398214,-0.002155815,0.00514841,0.004837202,-0.000841098,0.008012873,0.004544805,-0.000790256,-0.000380608,0.003625929,-0.001309066,2.70E-06,1.40E-06,9.25E-06,-1.33E-05,-2.34E-05,1.11E-05,3.26E-05,4.61E-05,-2.29E-06,-1.25E-05,-0.000142226,-6.53E-05,0.000244382,8.46E-05,0.00021262,-3.64E-08,-1.56E-05,2.84E-05,-2.25E-05,0.00010475,0.000116501,-0.000108402,8.26E-05,-9.69E-05,-1.43E-05,-0.000146284,1.81E-05,0.000168162,2.67E-06,0.000182361
NEXXIZ_clean_no_solvent.cif,0.00905,249.0408,1149.3328,1376.2752,1384,6528,8064,216,768,1300,1632,72.3576,11.7992,10.6673,28.9737,9,84,81,207,9.5,13,37,67,99,3.39815,7.12215,9.40975,-8.61,-5.495,-20.255,-17.5,-10.5,-40.5,3,2.5,8,2.1,1.96,5.56,200.0935,405.348,640.7254,786.742,854.5,1758,2740,29.5,122,157,544,602,12.88815,29.9761,44.1386,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,54.76,384.508921,5.32,0.5,-4.02844,0.009635502,-0.000537974,0.00342835,0.00354369,-0.000197853,0.006852517,0.003662911,-0.000204509,-4.83E-05,0.001673969,-0.000395465,7.27E-06,-3.41E-06,-8.47E-06,3.05E-05,-3.90E-05,2.07E-05,-5.16E-05,6.61E-05,4.70E-06,1.07E-05,-3.34E-05,3.96E-05,0.000139785,-0.00018624,0.000262261,6.74E-07,3.60E-06,-1.01E-05,-1.14E-05,6.48E-06,-1.38E-05,1.53E-05,1.77E-05,-2.28E-05,-5.75E-06,-5.73E-05,-4.74E-05,7.18E-05,5.28E-05,0.000134096
NEYJIM_clean_no_solvent.cif,0.00181,1053.1153,7000.7712,6696.6352,35461,166580,195008,936,4336,8056,10908,315.4792,33.52589091,26.04589091,100.1089455,1344.454545,1507.181818,5252.181818,4006,15.54545455,25.72727273,69.45454545,142.5454545,204.4545455,4.9818,8.656363636,14.76474545,-6.032727273,-1.434545455,-16.32363636,143.5454545,64.90909091,468.2727273,12.54545455,-0.272727273,39.27272727,3.039090909,1.505454545,10.75363636,63.8532,132.906,186.41,162.2372,246,528,350,10,26,48,124,88,4.0442,9.2708,11.4908,20.87778462,50.15384615,58.15384615,3.769230769,11.69230769,0.560223077,164.5676923,231.0748258,112.1217489,12.92307692,11.07692308,-2.384615385,0.664615385,0.701538462,-1.85928,5.34072,48.07692308,0,0,4.307692308,0,0.006883135,-0.001458997,0.003023919,0.002664697,-0.000564828,0.004101856,0.002348149,-0.00049773,-0.000296651,0.002154318,-0.000766172,2.13E-05,-4.35E-05,-4.60E-05,-2.25E-06,-3.63E-05,6.26E-05,6.34E-06,6.25E-05,9.04E-05,7.54E-05,-4.09E-05,7.26E-05,7.01E-05,9.57E-06,6.81E-05,-2.10E-35,-1.20E-06,-1.22E-06,-1.02E-05,2.50E-05,1.68E-05,-4.74E-06,1.56E-05,-2.31E-05,-1.99E-05,-2.17E-05,-3.09E-06,4.50E-05,3.37E-05,7.82E-05
NEYVEU_clean_no_solvent.cif,0.021,196.627,784.6768,1197.312,2842,9280,9888,144,516,672,768,42.2076,27.72,33.66,70.884,900,1170,1440,2520,16,25,65,140,200,4.8077,8.0696,13.8336,-8.55,-7.2,-16.56,111,192,396,12,12,40,2.88,4.32,10.4,321.9342,755.1072857,1273.678629,1764.414171,1281.428571,3150.857143,6147.428571,49.71428571,276,336.8571429,1683.428571,2036.571429,20.54074286,55.45071429,90.73268571,26.60213333,59,143.3333333,6,23.33333333,0.542766667,151.42,214.6168187,180.74,10.66666667,3,-1.333333333,0.453333333,-0.06,-5.342813333,-9.3,18.25333333,83.62,0.933333333,1,-4.235703333,0.014327474,0.001326188,0.006181138,0.005798352,0.00053671,0.010371759,0.005439271,0.000503473,0.000137022,0.002647906,0.000900584,8.40E-11,2.13E-10,1.64E-10,-2.74E-10,-4.57E-10,2.97E-10,5.15E-10,8.60E-10,4.15E-10,-1.16E-09,-5.33E-10,-8.90E-10,8.92E-10,1.49E-09,2.49E-09,2.03E-08,-3.58E-07,1.45E-06,3.04E-07,2.88E-08,-6.27E-08,-1.35E-06,-1.04E-06,-1.78E-05,-3.74E-06,3.97E-06,8.26E-07,7.08E-05,1.49E-05,3.13E-06
NEYYIZ_clean_no_solvent.cif,0.000711,96.1786,278.9859,465.12,1482.5,3615,2520,60,168,192,120,22.2474,20.1774,21.4122,1.3612,972.5,1209,1170,888,1,36,72,72,36,7.6587,7.7085,2.667,-9.33,-9.33,0,144,144,0,24,24,0,5.55,5.55,0,15.7441,15.504,0,0,85,84,0,2,0,2,0,0,1.1554,1.155,0,0,42.5,0,1,1,0.5777,83.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEYYUN_clean_no_solvent.cif,0.00875,76.9925,180.9672,210.528,1184,2112,1152,24,80,80,48,11.5632,26.2816,19.482,42.7076,784,896,672,1456,8,16,32,48,96,3.5332,3.7268,7.3568,-6.12,-2.56,-7.08,80,88,172,8,4,8,1.92,1.76,3.6,89.3368,174.244,264.1174,299.697,629,904,1216,12,42,60,180,138,6.0135,12.4906,17.9096,32.68,64,112,1,3,0.5329,59.89,99.11,167.555366,3,18,-2,-0.06,0.64,-8.1,-10.41422,161.96,309.8133333,1.72,0.666666667,16.58578,0.006279855,0.001005296,0.00274632,0.00265507,0.000425031,0.003912502,0.002566852,0.000410909,0.000115926,0.001067121,0.000605514,2.99E-05,-3.31E-05,-2.93E-05,-2.16E-06,-0.000179983,0.000148209,4.82E-06,0.000400891,3.25E-05,0.00019973,2.02E-06,0.00017668,8.55E-07,1.21E-05,0.001085617,2.38E-05,7.33E-06,-3.01E-05,-7.94E-06,3.43E-05,5.38E-06,5.12E-05,-1.68E-05,-2.44E-05,1.95E-05,3.37E-05,-5.37E-06,0.00012382,4.05E-05,6.17E-05
NEYZAU_clean_no_solvent.cif,0.0093,75.0605,168.7272,210.528,544,1344,1152,24,80,80,48,12.6144,18.0256,13.362,29.2916,144,384,288,624,8,16,32,48,96,4.0588,4.2812,8.4512,-8.52,-4.96,-11.88,16,24,44,8,4,8,2.64,2.48,5.04,89.3368,174.244,264.1174,299.697,629,904,1216,12,42,60,180,138,6.0135,12.4906,17.9096,32.68,64,112,1,3,0.5329,59.89,99.11,167.555366,3,18,-2,-0.06,0.64,-8.1,-10.41422,161.96,309.8133333,1.72,0.666666667,16.58578,0.006277825,0.000927614,0.002764014,0.002664228,0.000393667,0.003891946,0.002568045,0.000379455,0.000112129,0.001108551,0.000554314,3.28E-05,-3.69E-05,-3.35E-05,-1.98E-06,-0.000188233,0.000165952,4.46E-06,0.000423185,3.77E-05,0.000211658,1.90E-06,0.000192317,8.36E-07,1.04E-05,0.001080315,2.01E-05,5.23E-06,-3.12E-05,-9.00E-06,4.95E-05,7.97E-06,6.32E-05,-1.24E-05,-1.54E-05,2.56E-05,3.17E-05,-2.48E-06,0.000126956,4.50E-05,7.02E-05
NEZBOK_clean_no_solvent.cif,0.000898,155.3304,881.0182,711.2544,2862,11302,10720,94,454,718,536,39.321,31.992,20.491,52.886,625,1200,2050,1675,11,36,84,144,114,6.0882,8.4929,9.6605,-11.34,-3.92,-17.07,102,68,208,22,12,47,3.96,2.23,8.34,50.2044,64.2854,116.7765333,31.55626667,388,652,170.6666667,5.333333333,2.666666667,20.66666667,17.33333333,2.666666667,3.011933333,5.512333333,5.421466667,4.73344,64,25.6,1,3.8,0.5329,117.978,81.6501464,11.236,6,0,-2.8,0.28,0,-0.565688,0,500,0,0,9.6,0,0.001352977,0.000165968,0.000404594,0.000459351,5.63E-05,0.000391976,0.000521518,6.40E-05,3.93E-05,0.000273158,5.46E-05,7.11E-06,-2.56E-05,-9.78E-06,-1.45E-05,-1.65E-06,1.08E-05,1.86E-05,5.76E-06,4.58E-05,-3.43E-05,9.79E-06,-4.77E-06,5.03E-05,1.32E-06,4.04E-05,-3.44E-35,-9.95E-06,1.67E-06,-2.13E-07,2.00E-05,1.23E-05,5.40E-07,1.76E-05,3.59E-06,-3.86E-06,-4.70E-05,5.01E-06,0.00010444,-1.27E-05,7.75E-06
OMUMEQ_clean_no_solvent.cif,0.061,215.1497667,1654.673867,1580.903733,7773.666667,22530.66667,18597.33333,192,1340,1802,1778.666667,62.1368,37.92,22.2024,53.1624,3969,4636.8,5770.8,6526.8,15,96,278.4,331.2,465.6,11.88096,10.74192,18.94704,-20.08,-9.622,-26.302,531.2,374.6,841.4,68.4,40.2,100.6,9.056,6.038,13.922,307.9247714,694.9078,1110.725371,1425.115771,1312,3091.428571,4912,46,225.7142857,300.8571429,1203.428571,1316,20.1214,52.11945714,79.00742857,24.57991015,59.10526316,113.2105263,4.406015038,13.08270677,0.543388722,109.2985338,134.759812,197.0748327,1.808270677,8.041353383,-0.984962406,-0.036165414,0.216992481,-5.42481203,-7.656500414,26.61157895,83.34947368,1.686315789,-1.894736842,-11.36842105,0.009785156,-0.003846333,0.004457156,0.003976573,-0.001563105,0.009108743,0.003547808,-0.001394566,-0.000713592,0.004158341,-0.003194395,2.17E-06,-5.78E-06,-1.19E-05,4.23E-06,-2.77E-06,9.38E-06,-8.11E-06,5.69E-06,1.21E-05,4.37E-06,-8.56E-05,2.12E-05,9.32E-05,-1.37E-05,4.72E-06,-2.27E-09,5.23E-07,8.36E-07,-2.64E-06,7.08E-06,9.87E-06,-9.17E-06,1.30E-05,-1.24E-05,-1.04E-06,-1.58E-05,1.91E-06,1.56E-05,-3.52E-06,1.05E-05
OMUMIU_clean_no_solvent.cif,0.065,187.2282333,1227.014533,1009.4928,8266.666667,18776,14624,130.6666667,746.6666667,883.3333333,718.6666667,49.64466667,33.51584,16.74572,48.2022,4356,4224,5464.8,6098.4,13.4,72.8,180.8,176.4,299.6,10.34732,8.66062,16.83026,-17.224,-6.65,-23.162,490.4,300,792,52,27.8,72.6,7.832,4.5,12.3,282.9609714,585.3852857,946.5326857,1185.985714,1204.571429,2547.428571,4110.857143,42.57142857,188.5714286,235.7142857,852,970.2857143,18.66117143,44.5786,67.4116,20.06542105,59.57894737,91.57894737,2.263157895,4.894736842,0.542373684,89.50789474,114.4115789,158.5130608,1.684210526,6.947368421,-1.052631579,-0.033684211,0.176842105,-5.052631579,-7.078174737,8.870526316,27.78315789,0.562105263,-0.631578947,-3.789473684,0.010072648,-0.003295512,0.004142135,0.003990803,-0.001305688,0.008040906,0.003845,-0.001257985,-0.000654677,0.004031738,-0.002534663,4.51E-06,-9.54E-06,-1.17E-05,-1.62E-06,-1.12E-05,1.44E-05,7.60E-06,1.91E-05,3.16E-07,1.75E-05,-9.34E-05,4.62E-05,0.0001484,-2.20E-05,3.28E-05,-6.56E-36,-9.14E-07,4.57E-07,-1.41E-06,7.94E-06,1.06E-05,-2.16E-06,7.29E-06,-2.16E-06,2.06E-06,-3.72E-06,4.72E-06,3.63E-06,-1.42E-06,4.57E-06
OMUSAS_clean_no_solvent.cif,0.018,113.2327,367.1664,362.232,4156,14496,9504,54,200,288,264,25.8712,14.19,14.47875,31.85325,900,600,2970,1350,6,7,19,31.5,34.5,2.39075,6.66135,5.8164,-4.475,-1.35,-9.405,55,36,135,0,0,1.5,1.45,0.81,3.42,461.1516,1002.609,1580.8056,1966.203,2544,5544,10872,66,294,384,1512,1740,38.7714,88.5654,138.009,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONALEV_clean_no_solvent.cif,0.00151,79.7981,235.2697,187.7552,2251.25,5563,3520,26,148,161,104,19.564,22.016,12.22033333,47.70133333,762.5,880,1745.833333,1906.666667,8.666666667,16,37.33333333,58.66666667,69.33333333,3.942,5.509066667,8.541,-7.36,-1.77,-15.94666667,78,37.5,169,6.666666667,0,17.33333333,2.48,0.87,5.373333333,53.74383333,65.31413333,145.2152,15.136,481.3333333,965.3333333,16,5.333333333,2,21.33333333,16.66666667,2,3.300833333,6.370466667,6.656266667,2.162285714,64,2.285714286,1,4,0.5329,132.5,84.27,6.825052286,0,2,-3,0,0.102857143,0,0.22654,454.4542857,40.17396429,0,7.857142857,0,0.000292975,0.000134229,8.51E-05,9.63E-05,4.41E-05,0.000109059,0.000108977,4.99E-05,2.59E-05,6.41E-05,5.66E-05,2.23E-06,-5.18E-06,-7.13E-06,-3.29E-06,-1.05E-05,4.48E-06,4.77E-06,1.53E-05,1.59E-05,2.52E-05,8.41E-06,2.40E-05,6.51E-06,1.51E-05,6.38E-05,3.41E-36,2.18E-07,-1.17E-06,-1.60E-07,4.79E-06,5.79E-06,2.46E-06,1.22E-05,-8.51E-07,3.25E-06,-2.00E-08,2.09E-06,6.36E-06,-4.86E-06,1.71E-05
ONAWAC_clean_no_solvent.cif,0.017,92.5964,240.4392,372.096,1325,3660,2016,48,144,180,144,17.52,23.104,38.76,79.648,841,812,1392,1856,16,16,48,96,112,4.14,8.5008,12.3648,-4.56,-5.2,-11.52,88,184,400,4,8,36,2.52,4.88,13.12,197.9146,591.3364,1110.4048,1070.195,670,2044,1952,32,182,416,1852,1278,11.4944,39.3332,58.7328,7.752,49,42,4,12,0.5625,167.24,176.225228,83.62,12,1,-2,0.76,-0.02,5.78578,-3.9,54.76,330.515228,5.18,-1.5,6.66445,0.021176647,-0.002822526,0.009091812,0.007896712,-0.001052512,0.022561391,0.006858705,-0.000914162,-0.000914914,0.019611875,-0.002611816,1.62E-05,-5.39E-05,-1.76E-05,-2.39E-05,-5.49E-06,8.02E-05,-0.000101545,9.55E-05,1.57E-05,0.000104601,9.41E-05,-5.39E-05,0.000246025,-0.000138824,0.000135615,-2.36E-34,-6.24E-06,-1.17E-05,-6.16E-05,0.000189274,0.000122638,0.000110646,-3.33E-05,0.000299746,-1.52E-05,-3.79E-05,0.000186752,0.000280465,-5.97E-06,0.000348565
