filename,henry_cons,f-chi-0-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-2-all,f-Z-3-all,f-I-3-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-1-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-3,f-lig-I-0,f-lig-I-3,f-lig-T-0,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,lc-chi-3-all,lc-Z-0-all,lc-Z-3-all,lc-T-0-all,lc-T-1-all,lc-S-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-alpha-0-all,func-alpha-2-all,D_func-chi-3-all,D_func-T-1-all,D_func-alpha-3-all,feature_2,feature_4,feature_6,feature_7,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_19,feature_42,feature_44,feature_45,feature_46,feature_47,feature_48,feature_51,feature_52,feature_54,feature_56,feature_58,feature_59,feature_60,feature_61,feature_62,feature_68,feature_86,feature_88,feature_89,feature_90,feature_92,feature_93,feature_96,feature_97,feature_98,feature_100,feature_101,feature_102,feature_103,feature_104,label_y
BUT-17_no_solvent,0.027,463.9936,4167.4128,3226.736,12010,69312,88640,488,2044,4064,5296,131.5468,36.6016,18.3806,102.4986667,1600,2560,7200,7066.666667,23.33333333,64,154.6666667,336,400,8.9936,13.43906667,26.026,-16.88,-4.066666667,-46.03333333,256,113.3333333,756.6666667,44.66666667,16.66666667,136.6666667,6.48,2.566666667,19.03333333,344.4988,700.587,1121.4008,1430.204,1534,3168,5288,50,224,274,1016,1184,22.781,53.7306,81.3864,14.0352,64,76.8,1,3,0.5329,59.89,80.7795366,95.824,3,3.2,-2,0.04,-0.064,-4.641422,-9.6,0,0,0,0,0,0.003412898,0.000302795,0.003195259,0.001557877,0.000138216,0.004808777,0.000759557,6.74E-05,5.05E-05,0.001756284,0.000208011,5.02E-06,1.86E-06,-1.41E-05,4.57E-06,-2.85E-05,2.23E-05,-9.61E-06,6.01E-05,-5.27E-06,-1.06E-05,-1.30E-05,8.03E-05,4.46E-06,-2.60E-05,0.000161963,-5.85E-35,1.39E-06,-1.33E-06,-3.08E-07,4.18E-07,4.32E-07,3.02E-07,-6.23E-06,-8.12E-06,6.15E-07,6.37E-06,-6.30E-07,8.61E-06,-1.79E-06,5.26E-06,2
BUT-173_no_solvent,0.02,481.0884,2763.9312,3537.696,16764,57156,58368,456,1236,2220,2856,104.8572,36.7392,32.3248,79.388,2401,2352,6076,5096,14,36,84,156,204,6.2196,9.4572,14.7396,-9.96,-3.92,-19.68,246,268,582,22,22,50,4.14,4.7,9.5,367.7166,770.049,1257.8856,1576.758,1485,3204,5700,57,252,318,1158,1452,23.8593,57.8424,88.1286,10.02514286,64,54.85714286,0.571428571,1.714285714,0.5329,34.22285714,50.27428571,68.44571429,1.142857143,2.285714286,-1.142857143,-0.022857143,-0.045714286,-3.428571429,-6.857142857,0,0,0,0,0,0.010484791,-0.003914885,0.005687696,0.004082428,-0.001524326,0.010764723,0.002930224,-0.001094107,-0.000903216,0.006378472,-0.00288499,1.40E-05,-5.59E-05,-4.69E-05,-9.92E-06,-1.19E-05,9.16E-05,2.63E-05,3.17E-05,0.000194945,8.26E-05,1.41E-05,5.44E-05,4.49E-05,-2.33E-05,5.52E-05,1.19E-10,5.14E-06,-1.43E-05,-1.01E-05,3.15E-05,1.96E-05,3.14E-05,-5.83E-05,-6.30E-05,-1.23E-05,0.000117555,5.56E-05,0.000142256,6.70E-05,7.91E-05,2
BUT-32_no_solvent,0.02,266.498,1033.3216,1772.6008,4496,15344,20176,232,624,1040,1280,56.52,23.2256,42.7076,63.0682,784,784,1456,3024,14,16,48,96,144,3.63,7.3568,12.1726,-4.52,-7.08,-6.28,84,172,284,4,8,20,1.84,3.6,6.88,365.3694,833.6076,1297.5876,1509.675,1539,3678,5244,57,240,324,1200,1278,25.3137,63.0654,94.3926,14.44,49,49,4,10,0.5625,138.38,200.592614,116.972614,8,7,-1,0.34,0.36,-4.90711,-1.00711,54.76,276.76,2.45,-2,-19.5,0.006198143,-3.12E-05,0.005454675,0.002878748,-1.45E-05,0.008088799,0.001519282,-7.65E-06,-5.61E-06,0.003126822,-2.15E-05,1.77E-07,6.56E-07,-1.01E-06,2.40E-06,-4.39E-06,2.62E-07,-2.91E-06,5.35E-06,-3.73E-06,-1.62E-05,-1.36E-05,2.45E-05,3.26E-05,-5.97E-05,0.00011058,-2.42E-08,1.04E-05,-9.42E-06,-3.93E-05,3.42E-05,3.06E-05,2.79E-05,-2.84E-05,-2.20E-05,-9.92E-05,2.03E-05,0.000105478,2.83E-05,8.50E-05,0.000374565,2
BUT-33_no_solvent,0.013,266.498,1033.3216,1772.6008,4496,15344,20176,232,624,1040,1280,56.52,23.2256,42.7076,46.2602,784,784,1456,2912,10,16,48,80,112,3.63,7.3568,10.3818,-4.52,-7.08,-5.12,84,172,176,4,12,12,1.84,3.6,3.52,278.2494,631.6476,880.7316,832.779,1521,3462,4572,39,120,216,702,654,22.8495,52.809,73.9686,7.752,49,42,4,8,0.5625,138.38,167.24,83.62,2,1,0,-0.04,-0.02,-7.8,-3.9,54.76,276.76,2.45,-2,-19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BUT-44_no_solvent,0.011,441.3086,4032.4024,2782.272,11936,67072,86016,432,1920,3704,4608,125.9104,36.6016,16.1196,100.548,1600,2560,7040,7040,22.66666667,64,149.3333333,320,373.3333333,8.9936,12.64853333,25.64613333,-16.88,-3.253333333,-45.45333333,256,90.66666667,730.6666667,45.33333333,13.33333333,134.6666667,6.48,2.053333333,18.25333333,454.8938,940.542,1445.2508,1779.769,2042,4296,6616,68,282,364,1244,1310,31.6292,73.7968,107.2892,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,0,0,0,0,0,0.00363912,8.99E-05,0.002810343,0.001630759,4.03E-05,0.003595028,0.000946281,2.34E-05,2.02E-05,0.001803843,5.15E-05,5.88E-06,2.57E-06,-2.11E-06,-2.17E-05,-3.17E-05,3.20E-05,5.06E-05,7.40E-05,2.81E-06,-2.38E-05,6.92E-07,2.92E-06,9.61E-05,0.000136078,0.000193805,3.38E-35,-2.60E-06,-3.39E-06,-4.53E-06,0.00010031,-8.47E-07,-3.56E-05,-5.15E-06,-8.93E-05,9.19E-05,1.41E-05,-1.24E-06,0.000196752,-4.80E-05,0.000112348,2
BUT-66_no_solvent,0.024,467.3186,4181.3352,3624.384,12080,71424,90624,528,2112,4272,5664,134.904,36.6016,20.6416,105.07,1600,2560,7360,7360,24,64,160,352,448,8.9936,14.2296,27.2272,-16.88,-4.88,-47.08,256,136,776,44,20,136,6.48,3.08,19.28,235.4644,490.926,776.9404,979.497,988,2112,3300,36,158,196,712,798,15.6324,37.422,55.8776,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,0,0,0,0,0,0.006176385,-0.000716353,0.005573533,0.002836156,-0.000328945,0.009589863,0.00144321,-0.000167387,-9.67E-05,0.002820468,-0.000565985,9.81E-06,-1.32E-06,-2.53E-05,9.17E-06,-3.86E-05,4.51E-05,-1.90E-05,8.23E-05,2.73E-06,6.20E-06,-2.37E-05,9.83E-05,2.36E-05,-5.74E-05,0.000189532,-1.92E-10,1.11E-06,-1.11E-06,-9.22E-07,2.48E-05,-2.49E-06,-3.56E-05,-6.05E-06,-5.65E-05,3.48E-05,-6.72E-07,-3.14E-06,8.54E-05,-3.12E-05,8.74E-05,2
BUT-8(Cr)_no_solvent,0.025,265.1689,1392.6558,1733.76,1753,9576,11904,228,636,1116,1428,49.8444,33.2304,28.6902,71.806,169,624,676,1352,14,36,84,156,204,5.5188,7.9884,13.0788,-10.98,-4.94,-22.06,30,52,78,22,22,50,3.18,3.74,7.26,232.2654667,427.0300667,748.8276,845.3533333,1588.666667,3298.666667,4485.333333,28.66666667,120,156.6666667,556,666.6666667,15.16346667,34.62833333,52.4576,10.5264,64,57.6,0.6,1.8,0.5329,35.934,52.788,71.868,1.2,2.4,-1.2,-0.024,-0.048,-3.6,-7.2,69.0945,122.3693967,0.9955,0.2,0.5582225,0.003311,-0.000401342,0.002269728,0.001506947,-0.000182664,0.00337753,0.001000512,-0.000121277,-7.13E-05,0.00131863,-0.000271818,2.37E-06,-2.41E-07,6.48E-06,-5.85E-06,-8.93E-06,1.77E-05,1.63E-05,2.41E-05,-8.78E-07,6.17E-07,-1.82E-05,-2.26E-05,1.65E-05,2.05E-05,3.49E-05,-5.10E-09,4.19E-06,1.84E-06,-9.20E-06,1.30E-05,-9.75E-06,-6.88E-06,9.41E-06,6.35E-06,-4.13E-05,9.02E-06,-2.90E-05,6.98E-06,-2.11E-05,9.60E-05,2
CALF-20_no_solvent,0.00176,173.254,755.8604,1150.8942,2710,9308,10932,142,410,680,770,36.613,26.4,35.277,57.0735,900,1110,1500,2700,13,25,65,120,155,4.8601,8.0172,11.5149,-7.75,-8.18,-13.14,113,190,300,12,16,34,2.84,4.36,8.24,53.71966667,96.35313333,128.8257333,64.35093333,256.6666667,457.3333333,205.3333333,6.666666667,8,28.66666667,58.66666667,16,3.203866667,6.483933333,7.52,8.300373333,52,29.33333333,3.4,9.133333333,0.55658,130.378,156.1801216,29.0240608,7.333333333,3.2,-1.466666667,0.386666667,0.202666667,-0.194250667,1.542874667,0,0,0,0,0,0.002863289,0.000603049,0.001563612,0.001187943,0.000250198,0.001636456,0.000902531,0.000190086,0.000107644,0.000704063,0.000261854,4.93E-05,-7.80E-05,-7.42E-05,-6.62E-05,-1.62E-05,0.000241022,0.000147505,3.58E-05,0.000111198,2.04E-05,8.96E-05,2.16E-05,9.79E-05,2.59E-05,3.38E-05,-5.72E-35,-1.07E-06,-1.38E-05,-1.79E-06,0.00011156,4.76E-05,8.34E-05,-1.18E-05,1.53E-05,-3.13E-05,3.57E-05,7.40E-06,0.000145789,2.92E-05,8.25E-05,2
CALF-25_no_solvent,0.00139,255.3006,2039.4414,1963.7112,9240,41220,36456,256,1496,2216,1544,93.6976,28.391,19.2507,53.311,3136,5264,8064,7840,20,100,300,380,500,15.6016,18.032,29.4,-23,-13.62,-42.1,466,360,980,70,52,150,11.64,8.44,24.2,443.0876,886.4934,1697.8864,1910.746,2558,5952,9196,66,296,386,1320,1600,28.6782,71.6858,110.504,28.935,104.25,209.25,4.75,10,0.680575,269.375,298.9275,501.7608125,8.25,24,0,0.1875,0.7175,5.775,15.5696675,177.3175,352.760183,3.05,-0.5,19.7590025,0.009356678,-0.003516019,0.00577279,0.00343281,-0.001289969,0.012178526,0.002041332,-0.000767085,-0.001089598,0.010286832,-0.002721374,8.66E-07,-2.52E-06,-1.63E-06,3.38E-06,-1.11E-06,4.49E-06,1.09E-05,3.48E-06,0.000244177,-0.000122803,-0.0001482,-7.43E-05,0.000264001,3.38E-05,5.32E-05,-7.76E-35,1.19E-06,1.18E-05,8.60E-06,6.58E-05,-6.73E-05,-5.16E-05,-3.31E-05,-2.43E-05,-2.96E-06,9.69E-05,4.14E-05,0.000148141,4.27E-05,0.000117181,2
CAU-10-CH3_no_solvent,0.00774,299.0604,1761.4824,1706.24,2244,12552,15232,224,704,1216,1536,62.1376,33.2304,21.6062,71.806,169,624,650,1352,14,36,72,144,192,5.5188,7.056,13.0788,-10.98,-3.76,-22.06,30,28,78,24,12,52,3.18,1.96,7.26,105.8569,187.221,273.5704,257.397,580,1032,1416,13,34,62,162,152,7.4677,15.169,20.858,11.696,64,64,0.666666667,2,0.5329,39.92666667,58.65333333,79.85333333,1.333333333,2.666666667,-1.333333333,-0.026666667,-0.053333333,-4,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAU-10-H_no_solvent,0.00757,299.0604,1761.4824,1706.24,2244,12552,15232,224,704,1216,1536,62.1376,33.2304,21.6062,71.806,169,624,650,1352,14,36,72,144,192,5.5188,7.056,13.0788,-10.98,-3.76,-22.06,30,28,78,24,12,52,3.18,1.96,7.26,99.3544,174.216,247.5604,231.387,544,960,1272,12,30,56,142,124,6.8748,13.9832,18.4864,11.696,64,64,0.666666667,2,0.5329,39.92666667,58.65333333,79.85333333,1.333333333,2.666666667,-1.333333333,-0.026666667,-0.053333333,-4,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAU-10-OCH3_no_solvent,0.00628,299.0604,1761.4824,1706.24,2244,12552,15232,224,704,1216,1536,62.1376,33.2304,21.6062,71.806,169,624,650,1352,14,36,72,144,192,5.5188,7.056,13.0788,-10.98,-3.76,-22.06,30,28,78,24,12,52,3.18,1.96,7.26,117.6905,209.304,295.6534,292.485,644,1152,1608,14,38,66,176,172,8.0006,16.2316,21.9206,11.696,64,64,0.666666667,2,0.5329,39.92666667,58.65333333,79.85333333,1.333333333,2.666666667,-1.333333333,-0.026666667,-0.053333333,-4,-8,18.72666667,79.85333333,1.186666667,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAU-6_no_solvent,0.015,1210.4486,9423.2124,6414.0864,10586,70380,95232,1032,4224,7884,11136,313.9584,33.2304,14.55687692,90.69996923,169,624,774,1704,16.61538462,36,77.53846154,166.1538462,216,5.5188,7.490215385,15.32935385,-10.98,-0.867692308,-29.58461538,30,6.461538462,84.92307692,23.07692308,2.769230769,63.69230769,3.18,0.452307692,8.769230769,136.3208,236.232,371.5924,454.4014,740,1296,2476,16,58,80,256,250,9.1248,18.6032,27.7264,1.462,64,8,0.083333333,0.25,0.5329,4.990833333,7.331666667,9.981666667,0.166666667,0.333333333,-0.166666667,-0.003333333,-0.006666667,-0.5,-1,4.563333333,13.93666667,0.1225,-0.166666667,-0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd(L1)(Cl)(H2O)_no_solvent,0.00234,184.6892,779.1552,995.3712,6000,11636,10128,128,400,580,552,40.6024,27.2428,29.575,51.7647,2304,2256,1776,2448,12,25,60,105,130,5.846,7.3852,10.5968,-7.67,-5.67,-10.35,193,299,525,13,14,34,3.45,5.37,10.6,197.6204,406.674,694.7152,861.6204,674,1440,2004,32,142,176,588,628,11.496,27.8432,41.3896,33.0676,56.5,133,2.5,8.5,0.5477,113.565,190.2057675,198.0814555,9.75,11.5,-2.5,0.43,0.52,-4.2588875,-3.610665,0,0,0,0,0,0.017417959,-0.004078437,0.010050647,0.006781815,-0.001587971,0.020462904,0.004576125,-0.001071505,-0.000752194,0.009692923,-0.003233074,1.32E-06,-4.06E-06,2.65E-06,-1.11E-05,8.58E-06,2.05E-05,7.94E-05,-3.95E-05,1.94E-05,-2.87E-05,-0.000182309,6.68E-05,0.000438124,-0.000138635,0.000142813,7.24E-07,-3.88E-06,5.05E-06,-9.86E-06,7.84E-05,-9.38E-07,2.87E-05,-1.25E-05,4.15E-05,-1.00E-06,3.47E-05,-1.46E-05,0.000260773,-0.000200873,0.000257504,1
Cd(L2)(Cl)(H2O)_no_solvent,0.00491,184.6892,779.1552,995.3712,6000,11636,10128,128,400,580,552,40.6024,27.2428,29.575,51.7647,2304,2256,1776,2448,12,25,60,105,130,5.846,7.3852,10.5968,-7.67,-5.67,-10.35,193,299,525,13,14,34,3.45,5.37,10.6,160.9065,321.799,520.2312,611.8766,624,1252,1712,24,94,126,392,400,9.4288,21.9616,31.5102,33.744,56.5,136.5,2.5,8.5,0.5477,113.565,190.2057675,186.9814555,9.75,11,-2.5,0.43,0.53,-4.2588875,-2.110665,28.09,107.665366,2.53,-1,-7.30711,0.011156771,0.001084721,0.008210498,0.004681338,0.000455145,0.014123047,0.002669135,0.000259508,9.88E-05,0.003064602,0.000782904,5.01E-06,2.07E-05,1.93E-06,-2.71E-05,4.95E-06,1.13E-05,3.82E-05,-8.47E-06,-5.60E-07,-1.73E-05,-1.30E-05,6.25E-05,0.000176094,-4.71E-05,0.000174434,-5.82E-06,-4.91E-06,-1.28E-05,3.68E-06,0.000196023,6.62E-05,4.52E-05,4.71E-05,-1.74E-05,1.99E-05,-3.70E-06,2.29E-05,7.07E-05,-2.75E-05,3.39E-05,1
Cd(L3)(Cl)(H2O)2_no_solvent,0.00135,184.6892,779.1552,995.3712,6000,11636,10128,128,400,580,552,40.6024,27.2428,29.575,51.7647,2304,2256,1776,2448,12,25,60,105,130,5.846,7.3852,10.5968,-7.67,-5.67,-10.35,193,299,525,13,14,34,3.45,5.37,10.6,177.089,357.244,588.6642,726.9776,662,1348,1952,27,112,144,464,484,10.2955,24.287,35.537,34.01,56.5,145.25,2.5,8.5,0.5477,113.565,190.2057675,199.548302,9.75,9.75,-2.5,0.43,0.43,-4.2588875,-3.8088875,28.09,143.667683,6.25,-1,-4.92844,0.01518634,-0.000108284,0.007751982,0.005796904,-4.13E-05,0.014279787,0.004334904,-3.09E-05,-1.46E-05,0.005054043,-7.61E-05,8.37E-06,-2.00E-05,-1.98E-05,2.40E-05,-1.57E-05,4.85E-05,-4.57E-05,2.70E-05,5.76E-05,5.67E-05,-9.69E-05,3.36E-05,0.000355613,-0.000319377,0.000576026,-1.76E-05,1.87E-06,-4.29E-05,-2.23E-05,0.000121469,6.32E-05,0.000144054,-8.52E-06,6.56E-06,8.93E-06,6.98E-05,9.35E-06,0.000226901,0.000111727,7.55E-05,1
Cd2(L2)2(Br)2ref77_no_solvent,0.000245,182.2412,768.7872,981.3712,7872,13796,12792,128,400,580,552,41.4904,26.9048,29.575,51.7647,2304,3120,1776,2448,12,25,60,105,130,6.068,7.3852,10.5968,-7.47,-5.67,-10.35,175,299,525,13,14,34,3.3,5.37,10.6,172.249,342.108,577.4442,694.8576,661,1332,1926,26,106,140,438,448,10.1586,23.7468,34.9672,34.01,56.5,145.25,2.5,8.5,0.5477,113.565,190.2057675,199.548302,9.75,9.75,-2.5,0.43,0.43,-4.2588875,-3.8088875,28.09,143.667683,6.25,-3,-4.92844,0.012732892,0.00013045,0.007377411,0.005011196,5.13E-05,0.014992098,0.003403916,3.49E-05,2.18E-05,0.006357219,0.000104332,1.81E-05,-1.01E-05,-2.11E-05,-6.50E-05,6.19E-07,0.000112285,0.000157785,-4.22E-06,5.33E-05,2.54E-05,-3.03E-05,4.93E-05,0.000566353,-0.000177646,0.000179127,-1.11E-05,9.83E-06,-7.49E-05,-4.21E-05,0.000142891,0.000104032,0.000185939,9.47E-06,-9.31E-05,-1.18E-05,-9.97E-06,1.26E-05,0.000620146,0.000246017,0.000226204,1
Cd--ref76_no_solvent,0.00454,170.8842,841.3134,986.2816,5506,15472,10848,120,456,686,624,39.6616,34.2056,28.7131,55.8714,2304,2256,4032,3312,12,36,90,144,174,6.512,9.028,12.284,-10.1,-5.16,-12.78,241,252,507,21,18,43,4.48,4.26,9.46,112.324,219.521,336.6569333,379.7786667,496,976,1310.666667,16,58.66666667,82,268,265.3333333,7.178133333,16.28806667,23.11533333,18.34044444,60.66666667,87.11111111,1.666666667,5,0.539477778,83.74555556,120.4167173,126.5678284,4.666666667,6,-2,0.128888889,0.102222222,-5.114271111,-8.914271111,0,0,0,0,0,0.005757383,-0.001247026,0.004236774,0.0025776,-0.000558298,0.006397257,0.001568179,-0.000339661,-0.000249143,0.002854805,-0.000842994,2.53E-06,2.73E-06,1.58E-07,-1.93E-05,-9.04E-06,1.52E-05,4.99E-05,2.18E-05,3.19E-06,-1.97E-05,-4.00E-05,-3.29E-06,0.000246015,8.61E-05,4.89E-05,5.39E-35,6.81E-06,5.27E-06,-6.24E-05,0.000173531,0.000109608,-0.00015228,9.31E-07,-0.000186218,2.35E-05,-0.000103179,0.000222109,0.00047716,-0.000202234,0.000759153,1
Co(L13)2_no_solvent,0.00691,118.78,430.407,647.496,1356,4494,3528,78,236,300,214,21.4914,36.5472,38.352,69.6352,729,1215,1296,1674,15,36,90,144,186,5.5944,7.7616,11.4786,-8.16,-5.36,-8.84,117,168,343,21,24,59,3.12,3.92,9.79,205.9329,441.609,688.3552,832.693,849,1884,2752,32,134,174,618,690,13.776,33.2948,48.8698,19.336,56.5,76,2.5,7.5,0.5477,113.565,160.962614,135.052614,8,8.5,-2,0.34,0.33,-4.00711,-5.05711,20.7125,80.481307,0.9875,-1,-2.528555,0.007455697,-0.006443241,0.00612655,0.003288147,-0.002841628,0.011102906,0.001764763,-0.001525115,-0.001414542,0.005526947,-0.005149772,6.01E-06,-1.04E-05,-3.48E-06,-3.43E-05,9.23E-06,4.33E-05,9.81E-05,-2.81E-05,8.89E-06,-2.11E-05,-2.63E-05,1.21E-05,0.000353104,-0.000118053,7.06E-05,-1.79E-35,9.28E-06,-5.70E-06,-1.67E-05,2.35E-05,2.19E-05,-3.75E-06,-1.89E-05,-4.14E-05,-5.16E-05,3.72E-06,6.23E-05,8.50E-05,-3.79E-06,0.000167849,1
Co-btz-ht_no_solvent,0.00211,152.9928,848.4224,980.4744,2716,13308,9336,128,504,920,528,38.8392,34.7424,45.5712,58.5808,729,1674,2133,1512,12,36,96,180,168,6.2748,9.2484,9.5256,-7.2,-7.32,-8.6,100,164,268,20,24,44,2.58,4,7.56,204.5646,534.7264,974.3988,1197.925,810,2332,3472,32,194,260,1396,1378,13.3184,39.6104,67.306,14.44,49,49,4,10,0.5625,138.38,171.732614,116.972614,7,7,-1,0.36,0.36,-1.00711,-1.00711,54.76,510.705228,5.32,-2,-4.02844,0.010231639,0.002257308,0.006754324,0.004592889,0.001013285,0.009900705,0.00312313,0.000689026,0.000154563,0.001510221,0.001485306,4.39E-05,-0.000120057,-0.000105742,5.74E-05,-3.84E-05,0.000268086,-0.000125586,9.61E-05,0.000278005,7.98E-05,-0.000258881,-1.89E-06,0.000265194,-2.32E-05,0.000278508,7.74E-08,2.28E-05,-1.98E-05,9.26E-06,1.82E-05,3.46E-05,6.17E-06,-9.44E-05,-0.000115181,3.72E-05,4.51E-05,-0.000222608,0.000202324,-2.86E-05,0.00051193,1
Co-NIC_no_solvent,0.00473,108.367,411.346,474.912,1299,3850,2592,56,224,262,168,20.2552,37.2992,28.764,35.72,729,1242,972,756,8,36,84,108,96,5.5692,5.8212,5.7456,-8.56,-4.02,-3.96,116,126,188,22,18,32,3.14,2.94,5.52,91.2838,176.001,261.8652,273.915,397,768,894,13,42,64,190,164,5.7333,12.7666,17.2678,19.09333333,59,94.33333333,2,6,0.542766667,95.67333333,136.635076,146.717538,6,5.333333333,-2,0.213333333,0.06,-4.671406667,-9.635703333,0,0,0,0,0,0.006070272,0.002484851,0.004515755,0.002601603,0.00106496,0.005681315,0.001498828,0.000613541,0.000183648,0.000979721,0.001339836,5.69E-06,-8.10E-06,-3.52E-06,-1.11E-06,-5.06E-05,3.68E-05,1.74E-05,0.000127247,-1.74E-05,7.30E-05,-6.16E-05,-3.79E-05,0.000144169,-1.42E-05,0.000645298,-6.23E-05,7.80E-06,-3.14E-05,-3.24E-05,0.000108229,6.02E-05,0.000109017,5.42E-07,-5.09E-05,-7.76E-06,3.04E-05,9.50E-05,0.000200062,0.000118343,0.000429722,1
CPM-75_no_solvent,0.00769,403.1764,2022.014,3053.344,9172,43520,52480,424,1128,2080,3000,93.4984,25.542,27.59625,80.00025,900,1080,3735,3390,15,20.5,59,117,174.5,4.30335,9.7595,14.5279,-8.055,-3.525,-23.735,99,115.5,337,7.5,10,28,2.61,3.03,8.56,184.083,361.335,569.7784,706.87,831,1644,2626,26,108,138,484,524,11.9234,27.3966,40.57,20.812,64,107.2,1,3,0.5329,59.89,94.34,136.5355366,2.4,5.8,-2,-0.048,-0.016,-7.2,-13.041422,0,0,0,0,0,0.005378082,-0.000944012,0.00403896,0.002461401,-0.000432048,0.006576301,0.001500013,-0.000263296,-9.51E-05,0.001447915,-0.000703468,1.08E-05,-2.45E-05,-2.74E-05,4.19E-05,-5.81E-05,6.17E-05,-9.20E-05,0.000145979,6.96E-05,0.00010226,-0.000114889,0.000131937,0.000175893,-0.00020561,0.000367307,-6.72E-08,1.14E-05,-1.36E-05,-5.27E-06,6.50E-06,-7.77E-07,4.80E-06,-1.41E-05,-4.18E-05,-2.82E-05,1.21E-05,1.21E-05,5.56E-05,3.69E-05,8.73E-05,2
CSMCRI-2_no_solvent,0.00841,170.617,672.9868,916.608,2698,7408,8352,112,308,428,512,32.8444,27.72,25.245,55.209,900,1170,1080,2100,12,25,55,90,140,4.8077,6.0522,10.8468,-8.55,-5.4,-13.66,111,144,290,14,12,32,2.88,3.24,7.44,191.0082667,396.8516,604.3080667,716.2741333,822.6666667,1740,2489.333333,28,109.3333333,148,498.6666667,508,12.38786667,29.0664,41.75426667,18.44,60.25,86,1.75,5.25,0.5403,86.7275,124.471307,127.416307,5,6.25,-2,0.15,0.125,-5.003555,-8.528555,54.76,247.8140768,3.0975,-0.625,-10.285665,0.006662357,-0.002665716,0.004717892,0.002894654,-0.001158198,0.00802668,0.00177601,-0.00071061,-0.00050516,0.00350092,-0.001970474,3.68E-05,-4.27E-05,-2.94E-05,-5.51E-05,-8.42E-05,0.000169602,0.000124073,0.000187691,5.40E-05,8.13E-05,1.61E-05,4.38E-05,0.000146859,0.000152122,0.000242005,-1.32E-35,7.27E-06,-8.82E-06,-5.15E-05,0.000107804,7.81E-05,-3.86E-05,-3.49E-05,-8.61E-05,-6.19E-05,6.51E-06,0.000183379,0.000136836,5.13E-05,0.000320667,1
