filename,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,label_y
dptz-CuSiF6_no_solvent,-30336.92971,-1443.014581,-6864.107805,-391.8208099,1886.829679,1228.474804,-535.0831239,-275.5854616,562.7457908,-237.4538834,-111.0823757,-524.4751736,998.9699381,-1068.77203,725.8609195,383.0237349,191.6956811,-126.4631878,167.8569329,-176.5217244,79.62247227,126.6848631,12.29330796,10.54999198,-49.98894254,-142.8861889,-55.2071974,16.8388155,-33.92148404,-46.30178259,36.47625317,-29.82345735,53.00291647,61.52543232,43.5491945,-67.87321657,-3.796263368,-10.58394916,37.96552161,22.2149726,-67.49847114,1.861655561,1.049592921,46.01949823,-27.28401469,8.763223158,-26.35504771,-12.2646023,4.16245104,4.504412861,-12.5150836,5.755146906,0.157683761,0.851912463,4.242999714,0.747631671,0.286768299,-0.129948177,-5.697547163,-11.61031327,8.210239476,-6.036005785,-7.185011653,-4.900929792,3.014073585,-4.799315206,4.083809884,-1.109377128,2.521885871,3.233575022,2.430290023,0.504018045,0.222393823,-1.092145535,-5.493908687,-2.196268196,-0.023553016,3.637728194,2.610563633,1.235404009,0
dptz-CuTiF6_no_solvent,-35121.43009,750.3802508,-8768.922653,747.5484788,861.3180916,1300.8155,-1288.462054,-298.3418888,-502.8080535,38.41908037,-146.1248726,175.8031588,297.2044105,-667.9478935,-262.5202266,87.99482125,243.3527631,-84.3257659,494.9076654,-262.3047737,-6.997316109,-31.02098244,28.98657163,62.33353292,-62.40342509,16.27859032,4.606775574,-20.4442477,-16.34373282,37.58604368,-11.61905773,-51.10122938,79.21814993,56.81087774,46.92046181,-69.57139117,-11.67500695,34.32581957,3.052214923,-45.20174967,2.919425246,2.851876469,60.09285899,-16.82584917,-18.47510102,8.182556632,-7.401743277,-18.87323159,-7.442695907,3.528522035,31.3437583,3.456354545,16.58187625,-7.297739171,-7.292272422,23.0085863,-10.14072232,-7.979804061,-12.91760043,-3.627983669,-0.338123466,11.94150516,-9.355497544,4.659638501,3.620765875,7.280637676,-11.01276626,5.212213467,-8.218347312,2.616460281,2.552255741,-0.371560783,-1.671478214,4.879220181,-5.753511018,-0.655829292,4.116370933,-0.321050557,-0.163103461,0.388527424,1
DUT-51(Hf)_no_solvent,174686.5339,-20453.59326,36404.08712,-3678.454954,31904.5805,1718.32817,4711.289877,-42.01998277,-5157.215696,-236.1776319,-381.2855883,51.49961487,569.7195185,881.3270245,-1231.855437,-95.91433952,1133.799153,-297.0879057,519.1342282,51.45869166,81.2251513,-92.97682864,162.1796767,10.74724094,-161.8892775,102.632756,20.23383618,-90.59015113,20.98504472,-39.26488199,162.0382139,-63.01213956,-109.7915274,-8.423219535,60.51562836,-61.54962369,53.47338847,-16.81710668,26.97310474,20.73967089,11.91527016,-6.522729851,20.46764473,-6.386094483,13.80740155,12.17955282,1.14265295,-10.89205932,-8.179776891,23.6876116,-22.58401227,1.938771821,-5.431868886,-8.048428147,0.810831261,-2.119848837,4.854289986,-14.19401593,-7.431245074,-0.961785574,-1.9535109,-4.735976983,3.865682111,-0.288666228,-0.359622969,-0.89971345,1.617160044,-2.265815401,-1.609741719,-0.503556192,1.701680045,-0.577933601,1.883303402,0.437064023,3.901185566,0.630772067,-0.153282995,-0.702325871,-0.09432714,-0.160210005,1
DUT-51(Zr)_no_solvent,64163.17185,-8529.631407,24127.94354,-2879.307396,595.948178,-2697.350088,-1283.989408,211.6721387,2299.652438,-715.3104411,-1472.334229,105.5032372,117.6332762,-392.3040919,-598.0072237,-170.9685063,1541.838357,-426.2042747,-54.65423786,19.30803394,-93.77946425,-79.24583585,95.19749896,-161.1819009,-214.1668131,59.8363359,68.21220384,-110.877946,2.261356104,-15.38220885,95.49438393,-22.40810045,-154.3606487,-151.0352757,7.40913475,-19.69142099,31.98403168,-49.69789724,-32.27153305,-14.41389465,35.20118336,-20.14110082,27.15805183,14.6486798,14.66932492,13.59727655,0.330115141,-16.72126841,-4.525322028,14.51445979,-28.7044291,4.959258239,-10.2103884,0.571195828,-4.677187655,-8.461124152,1.606820452,-13.19424212,-11.8991736,2.221763127,-9.496784711,6.432206652,-5.358019663,3.769441455,-3.838176216,-0.490779473,1.306908864,-2.229803645,-2.055319192,4.770050871,2.469472047,-0.321971688,3.264301436,-0.872921262,-1.155553699,-3.327589738,0.623548838,1.549924701,2.475227842,0.901257498,1
DUT-67(Hf)_no_solvent,10083.97867,-6529.895855,3248.411327,-1382.344621,12362.49468,-1060.205309,7228.661479,1283.177362,3782.785827,-1331.813137,802.5535589,-18.41176013,564.7186954,3350.003793,-2015.732049,32.64265372,728.4137991,-768.1616457,-969.1147669,14.93264101,0.123129784,-100.180175,-134.1296118,-148.4816456,9.938713172,128.8337527,-124.1506057,121.6484791,58.01667396,-22.54183248,-98.38324069,15.92185415,120.3622187,-76.94427675,-14.63685216,-49.88191635,39.05989786,-20.6182924,23.95826584,-24.63388528,-16.91831956,10.85132708,35.6279136,-1.070007557,-16.57501393,-8.879906087,-11.36955332,0.296923422,-0.621293962,1.510305073,15.08406227,0.066428454,10.82502719,-10.19177416,0.616911499,5.905178506,-8.749607942,0.17241649,8.331098119,5.202097483,4.934284729,-2.863443229,-0.900499912,-4.637926013,4.134721593,-1.794529408,0.125067034,-0.446990432,3.376198487,-2.5835089,0.325166372,-2.587784206,-0.295022397,-0.945490243,-0.726173295,1.137470002,-0.98232414,1.45059614,-2.236597076,-1.808368794,1
DUT-67(Zr)_no_solvent,-18304.37685,-3475.051727,477.760773,-1333.10116,1702.596804,-833.2995848,640.8486827,167.0755535,2459.107907,-893.4481223,-302.5015247,-199.8266736,-78.27644008,522.2620287,-386.2185851,-126.5837996,998.6457654,-365.6961579,-83.14150092,40.94689679,-17.62503156,-201.201195,-95.13061653,-189.2950061,-51.33106764,48.07041582,-92.45839328,152.303138,23.30026529,21.948624,-186.8645043,20.15093083,52.69973895,-161.3386635,-12.29975938,-91.8668428,30.31018532,-33.63034399,19.14245274,-29.08417814,-1.696342041,-22.46402678,-9.655463241,16.20580963,-14.14067887,-12.06019342,-6.513948385,-0.966531198,4.479942257,1.580565293,0.661106183,-8.047540631,0.3500343,6.308583994,1.767568722,2.412248275,-3.120036058,13.13567053,-2.723671969,-6.21259931,7.986297703,-1.291718837,0.486425311,-4.315916942,-4.706142231,1.123155158,-1.67767085,-4.059002042,1.637962884,-0.974927142,0.016350634,0.486762597,-3.224242119,0.743709746,0.118779197,2.105902237,0.598686955,-0.120875474,-1.831523008,1.935277444,1
DUT-69(Zr)_no_solvent,161170.3323,-22664.01006,36399.24146,-3840.366817,21388.77552,14781.57312,-4952.908747,-4374.186289,-5717.553458,-177.740236,-773.1051164,1217.236797,-1489.06811,-2648.729318,-104.6303412,328.2203515,880.3108169,352.3223579,-238.8586201,-42.95337139,541.6096104,3.592902427,-224.3521871,-130.1360361,-21.83559695,24.19710312,53.13551286,255.041066,-122.613402,-68.37026018,-170.5845207,-36.01818109,22.08932514,-137.111345,-12.23164253,76.444726,4.440983411,-52.96451033,15.19808037,8.398895661,9.33824008,-3.957869248,-36.06288153,23.29647911,3.162086018,2.515993062,15.56210315,5.227471468,9.897676537,-31.59686233,15.72979434,11.51002245,4.633865127,7.995660263,-3.120113591,1.629515335,-0.926359526,4.770579853,0.231248659,0.224772169,-2.286266162,6.067667889,1.834499514,3.498995929,0.158476242,-1.415748607,-3.257152236,2.896587129,-2.562190787,1.668600491,0.289436683,1.947262753,-2.608304316,0.774228554,-1.600699259,1.182943791,1.544234185,0.79179837,0.40570655,-0.572165378,1
ee-2-Mg2(dobpdc)_no_solvent,-17387.89298,3155.333677,-4211.595365,4858.774936,900.2387302,1653.757051,-13.53199098,-364.2931561,-45.90889765,57.66556945,277.5657746,141.5829986,663.0870045,731.2906014,826.5001763,512.8611905,389.0777144,724.9421359,-61.50453132,-203.6921843,-139.2478893,-153.8537854,-338.1720105,332.5801248,-232.9630013,97.35032264,43.95386109,112.097591,159.9654916,-86.47928834,34.24314449,2.304061782,-93.93896012,-13.17518479,3.373023069,25.66126468,-33.96082466,49.82450135,47.42787553,-4.592442395,-15.32770711,-22.86120931,2.551990716,-3.037245162,29.25877953,-6.933529038,24.88471357,13.20742841,-17.70160367,-6.376955145,31.4840487,-19.30097419,5.46849876,4.844611588,0.505461185,1.042254266,-0.279833071,-10.15978625,7.414817384,2.059094459,5.083862731,-1.819029466,4.968612884,-1.783873457,3.075284286,2.72382221,2.670923001,1.152760544,1.294510595,1.481375938,5.458917956,-2.815343948,-0.717421031,-1.668891634,-0.080814567,-0.088007614,-1.934544481,2.832768085,4.972516034,4.462766336,1
ELOZUC_no_solvent.cif,-39615.06029,-2673.939955,-7181.245782,-1030.238995,1332.708995,402.8186929,-932.0906726,-531.1980822,-935.5363228,-733.5320603,-429.7974879,-206.9508587,-228.5846211,533.5011573,-180.6648005,83.40514311,-127.1964546,-87.52485013,86.82023291,70.97400386,-13.75019552,-22.28384896,-18.75281899,-6.435655729,48.54485088,-13.46114801,16.01143909,-13.94762909,59.39285101,-5.742791348,-23.74390894,4.238766828,-15.1498676,-2.394308645,8.71271585,-12.18077096,-23.21574919,-6.007745137,-20.75683787,-13.45560483,1.332988955,11.06952682,2.622996329,-4.154653061,7.541607736,3.882025269,-1.946995349,8.060824469,4.383693069,2.505132771,-4.741978792,-3.627453438,-1.583050469,4.976494904,10.75435307,-0.453475491,-1.952347063,-2.25313061,0.821272145,-6.77213256,-0.635303572,5.793779164,2.474611086,-0.864197148,-2.621427077,1.382555245,1.572364619,-1.889540709,-1.865426094,-0.774690223,2.072097981,0.829229709,-0.350906005,0.041010207,0.454097126,0.19993556,-0.209058626,-1.094337685,-0.699650859,-0.532941017,0
ELUBAQ_no_solvent.cif,-10266.8034,-5078.062498,6542.706381,-1890.04758,-5084.258906,3088.516378,-620.3792777,-937.3275839,-917.5306959,-334.6640743,1803.052105,-225.6427725,120.9264688,625.7590784,481.843549,263.9647931,-40.65061675,-97.19998623,-42.8100461,215.5488501,-208.8741831,-287.8377758,32.42026123,-108.8092376,52.34272555,-44.83000012,3.418309891,-18.8985862,28.09027585,55.45630934,13.39305997,-4.862618217,14.40282798,-58.96136625,-46.92770961,59.69689881,-29.62182258,-13.53643581,-38.74833398,37.01978263,20.73178803,-20.12401578,23.25644155,-9.184578651,-9.571501973,-0.967219339,-9.986892461,-9.370447975,-3.055876911,1.971228007,3.080507922,-9.350033153,-2.13392128,4.173933934,-1.868038093,-8.557829604,-4.000218072,-0.039454322,3.553433709,-9.980197876,3.106805956,-2.069344457,-5.688327397,-4.651533069,5.348648579,-2.301076655,0.716885623,-5.84600355,2.144232948,4.795274854,-1.736226201,5.494354187,3.545998304,2.564175547,-2.612273028,0.381284054,-0.614917919,1.007296233,-0.570203308,0.898976051,0
ELUBEU_no_solvent.cif,-10308.76546,-5091.538298,4418.510878,-1813.898071,-4832.750859,2563.672274,-625.3743364,-896.1728964,-1203.220396,-315.9912931,1405.940101,-215.3063415,326.4685323,593.1468601,369.3723174,40.65957841,-57.17663623,-22.31550695,-145.4717521,197.9632706,-261.2661426,-263.5804085,57.66315028,-101.2818979,43.3070567,-57.67848272,-7.487497872,-19.48019647,38.06125217,65.45626998,4.658912516,-0.456115484,11.58054463,-56.89811709,-46.04551696,50.66497943,-39.8409902,-12.36045005,-35.17944508,14.68145776,22.11366492,-18.79585895,12.30519688,-7.925204034,-11.45831236,-9.973838467,-3.665772966,-15.69998444,-6.387272322,-0.331175077,2.038232385,-5.344773035,7.604846985,3.257177735,-1.739054107,-11.79732657,-5.309598138,-11.60395705,9.528724446,-7.164351608,6.040268798,5.252083543,-9.743030315,-3.818954884,11.3749167,-1.89568629,4.79090304,-4.472131876,-3.26784099,2.195867081,2.667724997,5.892152227,1.886119765,-0.986455715,2.430972097,1.485140219,-0.92685467,-0.353613792,-1.137516948,0.519818981,0
ELUBOE_no_solvent.cif,-32091.9176,-3079.592817,-3841.815613,-1227.259344,-656.8662726,700.6072468,-1657.24756,-672.2587736,-769.0538427,-640.2176909,-462.4917972,-80.38717974,-198.8218284,5.892283782,-2.857762717,226.6333287,-185.0208549,-96.22033168,140.4567416,104.5469623,-37.26518249,-46.48832167,-42.09183773,-55.95778467,63.43745314,16.96431635,85.29973996,26.85609442,27.83982255,-8.881420332,5.407592431,11.20079457,-6.812981226,-32.13035091,-59.83367994,41.60958353,-13.22540616,-18.78532832,-35.42530807,-5.153629476,-5.977182841,5.498622585,7.602677593,-15.56190467,8.570813015,19.57087961,-14.87718943,6.941696893,-3.507859442,-8.595277528,-2.493962062,-0.835966985,-3.160306756,0.289929367,-1.678749141,-0.438307887,6.376374333,5.730462496,-6.155443555,-14.79417416,4.307356594,-3.048417449,0.542168452,0.432810482,-3.223765115,3.072771657,-2.567777074,-0.458536093,-1.43558475,0.482603013,-4.341443927,-0.24619178,0.862512759,4.1293243,-2.35961949,-0.941371106,0.474943529,-0.225678276,0.491402791,1.837703295,0
Eu-ADBA_no_solvent,147757.942,-15840.60189,35769.73079,-1964.956522,21578.04216,1245.328715,2251.80321,439.8454612,-2081.262616,385.7663553,-261.8865759,82.00711351,250.3340155,336.533696,-529.2419941,-46.20253409,-609.9817746,-72.5538411,253.101149,-55.90616296,110.1586256,-59.28793628,65.31290539,110.3188795,51.71136545,-95.92963855,20.33777871,-20.50608267,-22.38217681,24.83623857,10.56745007,-3.528689766,32.13209579,50.62491858,-6.815176706,6.554966678,-9.40133625,32.05950874,5.717287624,-0.965472846,-14.16407708,24.31136753,2.855376348,-22.83204584,-5.61147394,16.13450774,6.654129804,-5.4000029,-2.555988034,0.104212081,-0.089181381,-8.783517398,5.608900201,-2.273555403,-4.649930618,6.793880108,7.06678369,6.78629165,6.68339168,-5.312281346,3.577580488,-5.943214177,1.909079426,1.482807458,-1.668907952,-2.941025743,4.147120451,-2.795821596,0.189508869,-4.207010027,2.044016978,-0.950833304,-0.009786985,5.124268298,2.263609115,-0.574042772,-2.264819545,-1.856116992,-0.786951895,-0.402770183,1
